;Title;Text
161;Traffic Police Statistics 2020;The annual traffic police statistics of the St.Gallen City Police are available. The number of traffic accidents recorded by the police decreased in 2020. The number of injured people has also decreased compared to the previous year. The speed of compliance with the legislative objectives is positive. The number of traffic accidents recorded by the police decreased in 2020 compared to previous years. This is due to the lower volume of traffic, which is related to the hard lockdown and the further measures against the corona virus. The St.Gallen City Police registered a total of 434 accidents - 56 fewer than in 2019. In addition, the number of people injured has decreased by 16. A total of 172 people were injured in traffic accidents. Unfortunately, there were two accidents in which two pedestrians were hit by cars on the pedestrian crossings and died. The four most common causes of accidents in 2020 included a lack of attention, disregard of the right of way, driving in a non-drivable condition and improper driving speed. If you ignore the right of way and drive in a non-drivable state, there is an increase. On the other hand, there was a decrease in the other causes of accidents. As in the previous year, the compliance rate with regard to speed limits is well above the limit values ​​set out in the legislative objectives. In 2020, fewer people were unable to drive due to the St.Gallen City Police stopped. The number of people unable to drive fell by 37 to 229 people. In all areas - alcohol, drugs and mixed consumption - fewer people were reported than in 2019. For detailed statistics, see the traffic police statistics 2020 in the appendix. Information: Anjan Sartory, Head of Security, kommunikation.polizei@stadt.sg.ch, 071 224 61 61
162;Vehicle combination rolls down the slope;This morning (March 11th, 2021) there was a traffic accident on Schuppisstrasse. A parked van with a trailer rolled down a slope for reasons that are still unknown. No one was injured in this incident. However, there was a high level of property damage to the vehicle. On Thursday morning at 6 a.m. there was a traffic accident on Schuppisstrasse. A parked truck with a trailer stood on a slope. The 28-year-old driver was busy unloading goods when the van suddenly rolled down the slope. It only came to a standstill around 40 meters later. Nobody got hurt. A high level of property damage was caused to the vehicle. A towing service was called in for the costly vehicle recovery. How the accident came about is still unknown.
163;Party with over 90 people dissolved;On the night of Thursday (March 11th, 2021), the St.Gallen City Police were made aware of the party noise. Over 90 people were found on site celebrating a party. The event was dissolved and all participants were fined. On Thursday night shortly after 2 a.m., the St.Gallen city police were made aware of the party noise and a large crowd in the city center. On site, the emergency services met at a party in a private apartment. All those present, 96 in total, received a bus and then left the location.
164;Delivery truck driver escapes on foot;"On Saturday evening (March 13th, 2021) a patrol from the St.Gallen city police wanted to stop a delivery van for control. After the driver stopped, he fled on foot. A short time later, the 30-year-old was stopped. Investigations showed that the delivery van had not been redeemed and that false license plates were attached. On Saturday, shortly before 6 p.m., a patrol from the St.Gallen city police noticed a delivery van that was steered into Brauerstrasse despite the ""No entry"" signal. The patrol followed the vehicle and switched on the ""Stop Police"" matrix light. The vehicle was stopped at Falkensteinstrasse, whereupon a man on foot fled. The escape went via Neptunstrasse to Rorschacher Strasse, then to Splügenstrasse and finally to Oststrasse, where the man could be stopped. Several patrols from the St.Gallen City Police were involved. The van driver was taken to the police station for further clarification, and it turned out that the van had not been redeemed and that false license plates were attached to it. The 30-year-old man said he had taken the license plates of a friend without his knowledge. It will be displayed."
165;The driver causes an accident and drives into three parked vehicles;On Monday evening (March 15th, 2021) a 52-year-old man caused a self-accident on Zürcher Strasse. Due to lack of attention, he collided with three correctly parked vehicles. Nobody was injured. However, there was considerable damage to property. Rescue workers from the St.Gallen City Police were called to an accident at 5:30 p.m. on Monday at Zürcher Strasse, at property 84. On site, it was found that a 52-year-old man with his delivery van collided with three correctly parked vehicles. The accident happened due to a lack of attention. The driver wanted to catch his backpack, which fell from the passenger seat. At the same time he collided with the first vehicle. Despite evasive maneuvers and emergency braking, he collided with two other vehicles that were properly parked. Nobody got hurt. There was considerable damage to property. Two vehicles had to be towed.
166;Calling a witness: Self-accident due to inability to drive;On Tuesday evening (March 16, 2021) there was a self-accident on Zürcher Strasse. The 36-year-old driver collided with a traffic divider and a pedestrian sign. This accident was preceded by a long uncontrolled drive from the A1 motorway in the direction of St.Gallen via the Schoren West Tunnel, Rosenbergstrasse and Zürcher Strasse. The driver was injured indefinitely. The vehicle was totaled. The police are looking for witnesses. Yesterday at 10.30 p.m., the St.Gallen city police were made aware of a car that was traveling on the A1 motorway towards St.Gallen and was noticeable due to an uncontrolled driving style. The 36-year-old driver drove in the same way into the Schoren West Tunnel, along Rosenbergstrasse to Zürcher Strasse, where he came to a standstill due to a self-accident. He drove into a street divider and a pedestrian sign. The driver injured himself indefinitely and was taken to the hospital. The vehicle, a gray Opel Astra, suffered a total write-off and had to be towed. Before the self-accident, the driver is said to have had several minor collisions with guard rails or the tunnel wall. In addition, a car had to brake suddenly when the driver was driving in the opposite lane. The police are looking for witnesses who saw the vehicle or who were endangered by the driving style of the 36-year-old. The St.Gallen City Police will receive information on 071 224 60 00.
167;Illegal party disbanded;On Wednesday evening (March 17th, 2021) the St.Gallen City Police received a report about an illegal party. After the guests tried to hide, the celebration could be broken up in a private apartment. More than 30 people were fined. On Wednesday at 10.45 p.m., the St.Gallen city police were made aware of an illegal party. When the emergency services arrived on site, people and music could already be heard outside the property. Due to the suspected larger party, several patrols from the St.Gallen City Police were called in. The emergency services then rang the doorbell at the front door. Immediately noises could be heard from inside the apartment and doors being locked. After several minutes, the tenant and four other people appeared at the front door. They declared that four of them had celebrated a party. Due to the indications that there were other people in the apartment, the public prosecutor was called in to decide on any further measures such as a house search. Because of this, the tenant admitted that there would be more people in the apartment. Then the young people came out of the rooms and the party was broken up. 31 participants were fined CHF 100. The 19-year-old organizer received a fine of CHF 200.
168;Snow in St.Gallen: traffic accidents and disabilities;The brief snowfall on Wednesday (March 17th, 2021) resulted in isolated traffic accidents and delays in public transport in the city of St.Gallen. The situation calmed down quickly. No further accidents or traffic obstructions had to be recorded during the night. Due to the brief snowfall, four traffic accidents occurred in the city of St.Gallen on Wednesday evening. The accidents occurred between 7.15 p.m. and 8 p.m. On Zürcher Strasse, near Geissbergstrasse, there was a rear-end collision between four cars. Two people were slightly injured but did not need medical attention on site. There was another rear-end collision between two cars on Rosenbergstrasse. In addition, a car on Speicherstrasse got into the opposite lane and collided with an oncoming vehicle. Nobody got hurt. However, the railway line was interrupted because a vehicle hit the tracks. The fourth accident is a self-accident in which a driver slipped into a candelabra. Nobody was injured either. The damage to property was high in some cases, with vehicles getting stuck due to the snow-covered road surface, for example on Appenzeller Strasse. There were also individual course cancellations in public transport, whereby all courses could be run again according to the timetable until 8:50 p.m. After the snowfall stopped, the situation quickly calmed down and no further reports were received during the night.
169;Chemical accident in a company;On Friday evening (March 19, 2021) there was a chemical accident in a company in St.Gallen. A tank with corrosive liquid was damaged during work and subsequently leaked. No people were injured and there was no environmental damage. Later on Friday evening at 9:45 p.m., a chemical accident occurred in a plant in the west of the city of St.Gallen. When working with an electric pallet truck, a tank was accidentally damaged, from which corrosive liquid subsequently leaked. This could largely be collected in a tub. No people were injured and there was no damage to the environment. The St.Gallen fire brigade was on duty with around 25 people to bind the leaked liquid and to clean the site. A chemical consultant was also called in. The corrosive liquid collected is now properly disposed of.
170;Party with 35 people dissolved;On the night of Wednesday (March 24th, 2021), the St.Gallen city police were made aware of party noise on Langgasse. There the emergency services met at an event with 35 people. The organizer and the participants were fined and then left the location. The operation went without any problems. At midnight, the St.Gallen City Police was called to Langgasse, as residents complained about the party noise. An event of 35 people was met on site. Several patrols were involved in the operation and checked those present. The 21-year-old organizer was fined 200 francs. All other participants received a fine of CHF 100. Then the people left the location. The mission went smoothly.
171;Self-accident with property damage;On Wednesday evening (March 24th, 2021) a 42-year-old vehicle driver reported to the St.Gallen City Police because of a self-accident. When turning onto Rorschacher Strasse, the driver crashed into an island protection post due to alleged inattentiveness. Nobody was injured. However, there was a high level of property damage to the vehicle and the island protection post. Yesterday evening around 10.30 p.m., the St.Gallen City Police were called to a self-accident. A 42-year-old driver crashed into an island protection post while turning from Splügenstrasse into Rorschacher Strasse. The driver stated that she looked at the fuel gauge during the turning maneuver and was distracted by it. Nobody got hurt. A high level of property damage was caused to the vehicle, which had to be towed, and the island protection post.
172;Kick-off for cooperation in the public space of the city of St.Gallen;"The kick-off for collaboration in public space took place on Friday, March 26, 2021. Since public space belongs to everyone, it must enable an undisturbed social life. To this end, the St.Gallen City Police, the Addiction Aid Foundation and the Child Youth Family Office of the City of St.Gallen presented the common goals for the year 2021.The annual kick-off for cooperation in the public space of the City of St.Gallen took place on Friday, March 26, 2021. Due to the corona measures that continue to apply, the rising temperatures are likely to result in more people in public places than in previous years. It is therefore important that these places are accessible to all persons, while observing the protective measures. That is why the St.Gallen City Police, in close cooperation with the Child Youth Family Service and the Addiction Aid Foundation, defined the goals for the public space again this year. Because this belongs to everyone and must enable an undisturbed social life. Therefore, places that are perceived as unsafe should be made safe again. This can be done in the following ways, among others: ▪ Dialogue (relationship and prevention work) and support with user and interest groups; ▪ Controlling or directing people who claim certain places too much or even exclusively for themselves; ▪ Bringing these places to life other population groups or even with structural measures Since every place is different, no general measures are taken, but each situation is assessed individually. There should be scope for proportionate measures or targeted deployment options by the various parties. Regular and institutionalized exchange between the St.Gallen City Police, the Child Youth Family Service and the Addiction Aid Foundation is important. Challenges in public space can only be tackled quickly and purposefully together. City councilor Sonja Lüthi stated at the kick-off: ""The use of public space requires mutual consideration and tolerance."""
173;Cyclist is slightly injured after colliding with a delivery van;On Thursday morning (March 25th, 2021) there was a traffic accident on St.Leonhard-Strasse. A cyclist with her e-bike collided head-on with a delivery truck. She was slightly injured and was taken to the emergency room. There was minor property damage. Yesterday morning just before 7 a.m., a cyclist collided with a delivery truck. The 50-year-old driver was on her e-bike on the St.Leonahrd-Strasse in the direction of the city. She drove behind a bus and turned left onto the oncoming lane just before Pestalozzistrasse. She collided head-on with an oncoming delivery truck. The cyclist was slightly injured and was taken to the emergency room as a result. There was minor property damage to the two vehicles. The exact background is still unclear and is being investigated by the St.Gallen City Police.
174;Rear-end collision with high property damage;On Thursday afternoon (March 25th, 2021) there was a traffic accident on Zürcher Strasse. A 59-year-old driver brought his car to a standstill in front of the light signal. A subsequent 46-year-old was unable to brake early enough because the distance was too short. There was a rear-end collision. Nobody got hurt. However, there was significant property damage to the passenger car. Yesterday afternoon at 1 p.m., the St.Gallen City Police were called to a traffic accident on Zürcher Strasse, Geissbergstrasse junction. A 59-year-old drove into town on Zürcher Strasse and stopped his car in front of the traffic lights. The subsequent 46-year-old driver of a semi-trailer combination had too little distance and was therefore unable to stop in time, despite emergency braking. As a result, there was a rear-end collision. Nobody was injured in the process. However, the passenger car had to be towed as a high level of property damage had occurred.
175;Illegal party and massive damage to property;On Friday evening (March 26th, 2021) around 100 people gathered on the Drei Weieren, who followed a call to an illegal party. The party dissolved largely peacefully due to the presence of the police. Afterwards, over 200 people gathered in Red Square and the atmosphere became increasingly aggressive. The police finally broke up the illegal gathering. Later, smaller groups committed various damage to property in the city center. One policeman was injured. Nine people were brought in. An illegal party on the Drei Weieren in St.Gallen was called for on Friday evening (March 26th, 2021) via social media. After a meeting of around 100 people in Drei Weieren was peacefully dissolved at 8.30 p.m., over 200 people subsequently gathered at Red Square. Traffic was obstructed and the mood became increasingly aggressive. Local police were verbally abused, and bottles and stones were thrown at them. The police had to use irritants and rubber shot, and the gathering finally broke up. After that, smaller groups marched through the city center, causing damage to property amounting to several CHF 10,000, setting fire to firecrackers and attacking police officers. One policeman was slightly injured and had to be treated in hospital. A window was broken on a police patrol car. The police checked various people, nine people were brought in for further police investigations. A signpost for the city of St.Gallen was issued against numerous people. The St.Gallen canton and city police have started the investigation. Witnesses Due to the massive damage to property in the city center, the St.Gallen city police asks people who have taken photos or videos to make them available to the police. People are also asked to report who can make statements about the damage to property. Hints are received at 071 224 60 00 or mailbox.polizei@stadt.sg.ch Various blue light organizations and the civil engineering office in action The St.Gallen fire brigade was on duty with six men due to the damage to property and has around 15 broken windows, doors and shop windows provisionally locked to prevent further damage inside the building. The road inspectorate of the civil engineering office was on duty to clean dirty roads. The St.Gallen rescue team was also on duty. The St.Gallen City Police was supported by the Appenzell Ausserrhoden and St.Gallen cantonal police.
176;Call for witnesses: traffic accident between motorcyclist and car;On Monday morning (March 29th, 2021) there was a traffic accident between a motorcyclist and a car driver. As a result, the man injured himself indefinitely. Property damage occurred to both vehicles. The police are looking for witnesses. Yesterday morning at 9.45 a.m. there was a traffic accident on Martinsbruggstrasse. An 81-year-old was out on his motorcycle. There was a collision with the vehicle of a 55-year-old, in which the man injured himself indefinitely. There was property damage to both vehicles, and the police are looking for witnesses who can provide information about the course of the accident. The St.Gallen City Police will receive information on 071 224 60 00.
177;Violations of the Narcotics Act;Over the last weekend (March 26-28, 2021) there were six violations of the Narcotics Act in the city of St.Gallen. On the occasion of identity checks, several people were stopped and reported because they were carrying small amounts of narcotics with them. At the weekend, a total of six people who were carrying small amounts of heroin were checked in the city of St.Gallen. The narcotics were taken from them and the people reported. Two people received 48-hour directions from the main train station, the other four received 24-hour directions for the city of St.Gallen.
178;Traffic accident with injuries and high property damage;On Tuesday afternoon (March 30th, 2021) there was a traffic accident in St.Gallen. There was a collision between a delivery van and a passenger car on Appenzeller Strasse. The two occupants of the car were easily injured. A high level of property damage occurred on both vehicles. Both had to be towed. Yesterday afternoon shortly before 4 p.m. there was a traffic accident on Appenzeller Strasse. A 31-year-old driver drove his delivery van from Zürcher Strasse to Appenzeller Strasse. Then there was a collision with a passenger car coming from the motorway on the two-lane carriageway. The driver of the delivery truck stated that he was blinded by the sun and therefore did not see the car. The 81-year-old driver of the car and his passenger were slightly injured and taken to the emergency room. The two vehicles had to be towed due to the severe damage. There was high damage to property.
179;St.Gallen should remain peaceful;Last Friday, March 26, 2021, there were riots in downtown St.Gallen with high levels of property damage. The city council strongly condemns the violence. Nevertheless, he understands the frustration of the young people and the difficult situation for the entire population. It is now a matter of staying calm and sticking together. On Friday, March 26, 2021, an illegal party with over 200 young people escalated on the Red Square in St.Gallen. Violence was called in advance. The rioters left property damage of several tens of thousands of francs. In addition, a policeman was injured and had to be treated in the hospital. The city council understands the difficult situation for the entire population. Social contacts have not been maintained in the same way for over a year and leisure opportunities are limited. But now we all have to stick together to overcome the crisis together. Violence and property damage are not the solution. Rather, it damages people, businesses or catering establishments who are also going through difficult times and cannot help it with the current situation. Last Friday's riots were unacceptable and the city council strongly condemned the violence. There should be no further escalation in which bystanders are harmed. St.Gallen should remain peaceful. The St.Gallen City Police will be present, prosecute criminal behavior and bring people to justice. There is another way The last Saturday proved that young people can maintain social contacts peacefully despite the police presence. Around 150 young people met in small groups all over the Red Square. The evening was peaceful and the police did not have to intervene. The various places throughout the city of St.Gallen may and should be used within the framework of the current regulations. Young people are allowed to meet in groups of up to 15 people. Maintaining the contacts does not need violence.
180;Riots in the city of St.Gallen;On Friday evening (April 2nd, 2021), violence broke out in the city of St.Gallen after previous calls. Police and ambulance forces were attacked. Fortunately, the emergency services were not injured, but the police are aware of at least two injured people. There was property damage. 19 people were stopped and brought in for the purpose of investigating criminal offenses. A person who had been advertised was arrested. Following calls for violence on Good Friday in the city of St.Gallen in the past few days, the first clashes broke out on Friday evening shortly after 9 p.m. What began peacefully on Red Square at 8 p.m. later degenerated into attacks on the police, who were present on site and sought dialogue. Police forces were pelted with bottles, stones, pyro and even a Molotov cocktail. Rubber shot had to be used in self-defense. In the course of the evening there was various damage to property and the police finally used irritant gas in addition to rubber shot. Among other things, objects were set on fire, furniture was damaged and, for example, a pane of a bus stop was smashed. Police and ambulance forces were attacked. Fortunately, the emergency services were not injured, but the police are aware of at least two injured people. 19 people were brought in to investigate criminal offenses. 33 people were expelled from the city of St.Gallen (28 people for 30 days and five people for 24 hours). In connection with the riots, a 25-year-old Swiss man who had been put out for arrest was arrested in the early hours of the morning. The St.Gallen canton police had received around seven reports of property damage by noon on Saturday. The amount of damage currently amounts to around CHF 50,000. Rescue forces and resources The St.Gallen City Police was supported by the St.Gallen Canton Police and rescue forces from the Eastern Switzerland Police Concordat as well as the SBB Transport Police. In order to keep the dynamic situation under control, a police helicopter from the Zurich cantonal police was used for reconnaissance. The professional fire brigade and the St.Gallen rescue team were also on duty. The street inspectorate of the municipal civil engineering office was on duty in the early hours of the morning to clean the streets and squares Have made videos to make them available to the police. Information is received on 071 224 60 00 or mailbox.polizei@stadt.sg.ch. Condemnation of the violence The city of St.Gallen and the city police condemn the renewed violence in the strongest possible terms. The corona measures are drastic, especially for young people. However, this in no way justifies the violence against the emergency services and the damage to property. It is important to keep calm and persevere in the further course of the pandemic.
181;Action by the police as a result of renewed calls for violence;For Easter Sunday evening (April 4th, 2021) there will be another call for violence in the city of St.Gallen. It is important to the City Council and the St.Gallen City Police that the public is aware of the police action. Furthermore, neither violence nor damage to property will be tolerated. Extensive personal controls take place on Sunday evening. The aim is to turn away people who are looking for a riot or who are onlookers following the calls for violence. After two Friday evenings with riots in the city of St.Gallen, calls for violence are already circulating again for Easter Sunday evening. It is important to the City Council and the St.Gallen City Police that the public is aware of the police's procedures and that young people in particular are aware of what they are getting into if they follow the calls for violence Personal checks are carried out and young people who are looking for a riot or who follow the calls for violence as onlookers are turned away at an early stage. These personal controls must be expected in the entire city center. Anyone who violates an outright signposting will be reported. Those people who were turned away last Friday, if they are in the city of St.Gallen again this evening, must also expect a criminal complaint follow, not even as onlookers. The appeal is aimed in particular at the parents of the young people: Don't let your children go to St.Gallen this evening. There are peaceful and therefore more expedient ways of attracting attention to the concerns of young people.
182;Balance of the police operation in St.Gallen;"For Easter Sunday evening (April 4th, 2021), violence was called for the third time in the city of St.Gallen within a few days. The city police therefore announced in advance extensive identity checks and the removal of people who followed the calls for violence or who wanted to witness the riots as onlookers. The city police draws a positive balance. There were no riots, no injuries and property damage was largely prevented. Various prohibited items were seized as a precautionary measure to prevent possible criminal offenses. After violence was called for the third time in the city of St.Gallen for the third time within a few days for Easter Sunday evening, the police, as announced in advance, carried out extensive personal checks. People who followed the calls for violence or wanted to witness possible riots as onlookers were turned away. A total of around 500 people were turned away between 6 p.m. and 1 a.m. As a result of various personal checks, 60 people were brought in and investigations into possible criminal offenses were carried out. The most important thing in a nutshell: stopping a group of people who were carrying 2.5 liters of fuel and small, empty bottles that could presumably have served as Molotov cocktails; stopping a person who was carrying fuel; securing various pyro, various masking material and a knife25 The police did not have to use rubber shot or irritant gas. There were no riots, no people were injured and property damage was largely prevented. This succeeded in stopping the dynamic of calls for violence for the city of St.Gallen for the time being. Proportionality of the deploymentThe city council and the St.Gallen city police are aware that the many evictions also raise questions. After violence was called for the third time in social media and in chats and there were already two massive riots despite the willingness to engage in dialogue and the initially cautious police operation, the evictions were considered proportionate in this extraordinary situation. The past riots were not violations of the Covid-19 regulation, but in some cases violence against emergency services and property damage that had been specifically prepared in advance. The consideration of expelling people from the city or accepting further injuries and property damage was carefully carried out. The identity checks and evictions were clearly communicated in advance. Thanks to fewer people in the public space due to the directional instructions, targeted personal checks and the resulting bring-in were only possible throughout the evening. This enabled the police to prevent riots, injured people and, to a large extent, damage to property. Legal basis and effects of evictionsThe police can temporarily evict or keep people away from a location if there is reasonable suspicion that they or the gathering to which they can be attributed that endanger or disrupt public safety and order. This was due to two recent calls for violence, both of which resulted in rioting, injured people and property damage Perimeter (city center / Drei Weieren). The evictions do not prevent affected persons from moving to work, school or the like in the city of St.Gallen, unless there is a call for violence during this period."
183;Dealing with directions;The numerous evictions on Easter Sunday evening (April 4th, 2021) raise questions, and some of those affected also resentment. The St.Gallen City Police are ready to talk should a removal order have been wrongly ordered. The final balance with regard to the number of evictions for Easter Sunday amounts to 650 evictions, 150 more than originally reported. For Easter Sunday, a third night of rioting had to be expected within a few days. The primary goal of the St.Gallen city council and city police was to prevent further riots with injuries and property damage. The police law allows people to be expelled if there is a suspicion that they are endangering public safety and order. So that the directions also have an effect for further calls, as they are now circulating again for Friday, April 9, 2021, they have been decreed for the maximum duration of 30 days possible by law. The aim is to be able to report people who repeatedly take part in riots due to disregard of the ordered directions. However, nobody should be prevented from attending school or work, important errands or using the public transport, as long as there are no calls for violence during this period. Accordingly, it was pointed out that people who believe they had been unjustly evicted should report to the St.Gallen City Police (mailbox.polizei@stadt.sg.ch). Around a dozen people registered by Tuesday evening, April 6, 2021. While there was no time on site to hold long discussions, it is now possible afterwards to assess individual cases in more detail depending on the situation. Any questions about evictions can be clarified or, in justified cases, evictions can be lifted. A total of around 650 evictionsWhile the balance sheet press release after the end of the mission on Easter Monday morning (April 5th, 2021) communicates around 500 evictions for the time between 6 p.m. and 1 a.m. the final number, around 650 signposts, can now be confirmed.
184;Police action on Friday evening;On Friday evening (April 9th, 2021) there will be another call to violence for the city of St.Gallen. Furthermore, neither violence nor damage to property will be tolerated. As a result, the St.Gallen city police are again carrying out extensive personal checks on Friday evening. On the one hand, compliance with the directions is checked. On the other hand, people who are looking for a riot or who follow the calls for violence as bystanders are turned away. After two Friday evenings with riots in the city of St.Gallen, the city police turned away around 650 people for 30 days on Easter Sunday. The goal of preventing further violence was achieved. Calls for violence are again circulating for Friday, April 9, 2021. The city and city police of St.Gallen are taking this seriously and are preparing accordingly. Renewed identity checks and evictions On Friday, extensive identity checks will again be carried out in order to determine possible disregard of evictions. People who have been ordered to evacuate are explicitly not allowed to stay in the city of St.Gallen on Friday evening (April 9th, 2021). Otherwise they will be reported. In addition, on Friday evening, expulsion orders will again be issued against people if there is any suspicion that they are looking for a riot or are onlookers who follow the calls for violence. The city council and the St.Gallen city police again appeal to the population not to heed the calls to violence, not even as bystanders.
185;Record of the police operation on April 9, 2021;On Friday evening (April 9th, 2021) there were renewed calls for violence for the city of St.Gallen. The St.Gallen City Police were prepared accordingly. There were neither riots nor property damage. Between 6 p.m. and midnight, around 40 people were brought in to investigate criminal offenses and around 90 people were turned away. After violence was called for the fourth time within two weeks in St.Gallen on Friday evening, April 9, 2021, the St.Gallen City Police were again prepared accordingly. Extensive personal controls and, if necessary, evictions were announced in advance. From the point of view of the police, Friday evening was mostly calm and there were neither riots nor damage to property. Around 40 people were brought in between 6 p.m. and midnight. Almost all of these are disregard for signposts. A alarm gun, masking material and various narcotics were seized during the controls. Over a dozen of the around 40 people brought in were minors, which is why the parents were informed afterwards to pick up the minors. Very few of the people brought in are resident in the city of St.Gallen. Again, around 90 people were evicted between 6 p.m. and midnight. Around a third are minors. There are hardly any people who live in St.Gallen among those evicted. In addition to people from eastern Switzerland, those who were directed also include people from Bern, Kriens, Lucerne and Landquart.
186;New Head of Support at the St.Gallen City Police;Kevin Koller is the new Head of Support at the St.Gallen City Police. He succeeds Elmar Gschwend, who will take early retirement on April 30, 2021. Koller, currently Head of Specialist Services, will take over his new role on May 1, 2021. Kevin Koller has been elected as the new Head of Support. In connection with his new role, he was promoted to captain and became a member of the management of the St.Gallen City Police. The 40-year-old Kevin Koller succeeds Elmar Gschwend, who will take early retirement at the end of April 2021. He will take up his new role on May 1, 2021. From 2002 to 2003, Koller graduated from the St.Gallen City Police School. For around 14 years he worked in front and shift work as well as group leader and deputy head of a section. As a result, he has a lot of experience in the police force. He was also a grenadier instructor for 12 years and became Deputy Head of Planning and Operations in 2016. In 2018 he took over his current function as Head of Specialist Services, to which the operations center, the situation center, the specialist services for traffic and security as well as data management are affiliated. He has also been an on-call officer since 2020. The support department includes the specialist services, finance and logistics, ICT and projects, human resources and special formations. With Kevin Koller, the St. and experienced head of support.
187;Moth fire on house facade after construction work;Yesterday evening (April 15, 2021) there was a moth fire in the city of St.Gallen. The St.Gallen professional fire brigade was able to stop this and prevent a major fire. Further clarifications regarding the cause are being made. On Thursday evening, shortly after 7 a.m., a moth fire broke out on Gaiserwaldstrasse. This formed under a sheet metal facade and could be stopped by the emergency services of the St.Gallen professional fire brigade, thus preventing worse things from happening. Construction work was carried out on the house facade during the day. There was material damage of an as yet unknown amount. The St.Gallen City Police in cooperation with specialists from the St.Gallen Cantonal Police will clarify the cause in more detail.
188;Rear-end collision with high property damage;A traffic accident occurred in St.Gallen late on Thursday afternoon (April 15, 2021). There was a rear-end collision in which three people were involved. One driver complained of pain, but did not need medical care on site. Significant property damage was caused to all three vehicles. At 5.30 p.m. yesterday a rear-end collision occurred on Tablatstrasse. A 47-year-old driver brought her car to a standstill to give way to a pedestrian. The 53-year-old who followed her noticed this a little too late, but was able to brake her vehicle abruptly in time. However, a 23-year-old driver recognized the situation too late. He could no longer brake, which is why there was a collision. This presumably led to a second collision between the two front passenger cars. The 53-year-old driver complained of pain, but did not need medical care on site. A high level of property damage was caused to all three vehicles. The exact course of the accident will be clarified by the St.Gallen City Police.
189;Traffic accident with minor injuries and high property damage;On Thursday morning (April 15th, 2021) there was a traffic accident in St.Gallen. Both drivers were slightly injured. A high level of property damage was caused to the vehicles. Yesterday morning at 7.30 a.m. there was a traffic accident on Sonnenstrasse. A 27-year-old driver wanted to turn off the St. Fiden motorway exit into Steinachstrasse with her car. She overlooked an oncoming vehicle. Despite an emergency stop, there was a collision. The driver and the 36-year-old driver of the other car injured themselves rather easily. There was high damage to property. Both vehicles had to be towed.
190;Four disabled people stopped;"On the occasion of traffic controls on Friday and early Saturday morning (April 16/17, 2021), four people were reported who were unable to drive. The police also seized marijuana from a driver. A young person was traveling on a motorcycle that he had stolen without a driver's license. All people are displayed. On Friday evening shortly after 5.30 p.m., the St.Gallen city police checked a driver on Rorschacher Strasse. During the inspection, the car smelled strongly of marijuana. The emergency services seized a total of 20 grams of marijuana. The 19-year-old driver was classified as incapable of driving, with the public prosecutor ordering a blood and urine sample. He had to hand in his driver's license. Early on Saturday morning, April 17, 2021, two other drivers were checked who were unable to drive. The alcohol test in a 30-year-old man was positive with 0.32mg / l. The second arrested, a 27-year-old, was classified as incapable of driving, whereby the public prosecutor's office ordered a blood and urine sample. On the occasion of the patrol activity, a patrol of the St.Gallen canton police on Demutstrasse on Saturday at 1 a.m. noticed a motorcyclist who was without a helmet was on the way. When he noticed the police, he got off the motorcycle and wanted to run away. When he was called ""Stop the police"", he stopped and allowed himself to be checked. It turned out that he has no driving license and had stolen the motorcycle. For the sake of responsibility, the further case processing was handed over to the St.Gallen City Police. During the further check, the 15-year-old was classified as incapable of driving. The youth public prosecutor's office ordered a blood and urine sample. All persons are reported to the public prosecutor's office by the St.Gallen city police."
191;High damage to property in a rear-end collision;On Friday evening (April 16, 2021) there was a rear-end collision between two cars at the Zürcher Strasse / Fürstenlandstrasse junction. Nobody was injured, but there was considerable damage to property. Due to the accident, there were traffic disruptions. On Friday evening at 6:20 p.m., two vehicles drove one behind the other on Zürcher Strasse into town. Both drivers wanted to turn right into Fürstenlandstrasse, which resulted in a rear-end collision. Nobody was injured in the collision. One vehicle suffered a total write-off, the second major property damage. Both cars had to be towed. For more than an hour there was traffic obstruction due to the accident.
192;Cyclists injured in frontal collision;On Friday morning (April 16, 2021) there was a head-on collision between a car and a bicycle on St.Josefen-Strasse when the driver overtook a truck. The two-wheeler injured himself moderately and had to be taken to the hospital. On Friday shortly after 10 a.m., a driver was driving on St.Josefen-Strasse in the direction of St.Gallen. When the 71-year-old tried to overtake a truck, there was a head-on collision with a cyclist who was driving out of town on St.Josefen-Strasse. The 27-year-old two-wheeler was moderately injured in the collision. He was brought to the hospital by the ambulance.
193;Call of witnesses: Passenger car flees from police control;On Tuesday (April 20th, 2021) the St.Gallen City Police tried to stop a black passenger car as part of a traffic control. The driver of the vehicle did not comply with this request and fled from the police control. In the course of the search, the two alleged occupants of the car could be stopped. The police are looking for witnesses. Yesterday afternoon, shortly after 5:20 p.m., the St.Gallen city police carried out a traffic check on Zürcher Strasse. As part of this control, the emergency services tried to stop a black passenger car. However, the vehicle driver did not comply with this request and evaded the traffic control. He accelerated strongly and drove in the direction of Abtwil. A short time later, the car was found in a parking lot near the control point. In the further search, the two alleged occupants of the vehicle were stopped. The exact background is still unclear and is being clarified by the St.Gallen city police, who are looking for witnesses who saw the vehicle, a black Jaguar station wagon, or who can provide information about the occupants. The St.Gallen City Police will receive information on 071 224 60 00.
